activityLevel,elapsed_min,lowestRespirationValue,highestRespirationValue,avgWakingRespirationValue,avgSleepRespirationValue,averageRespirationValue_num,averageSpO2HRSleep_num,averageSpO2Value_num,avgSleepStress_num,awakeCount_num,awakeSleepSeconds_num,deepSleepSeconds_num,highestRespirationValue_num,highestSpO2Value_num,lightSleepSeconds_num,lowestRespirationValue_num,lowestSpO2Value_num,remSleepSeconds_num,sleepEndTimestampGMT_dt,sleepStartTimestampGMT_dt,sleepTimeSeconds_num,tot_sleep_hours,Prin1,Prin2,rownum,CLUSTER
0.5308550119,-0.507290152,1.2670167264,-0.500613843,0.0584992647,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.414971684,0.8995592577,1.5596555605,0.1145258176,-1.169304378,0.4934776179,1.5490795336,-1.706171582,1.5862160847,0.2771447036,-0.294240945,-0.301911601,1.6319159517,1.9921309979,-1.350306786,4.8338558983,81,2
1.4429604415,-0.507290152,1.2670167264,-0.500613843,0.0584992647,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.414971684,0.8995592577,1.5596555605,0.1145258176,-1.169304378,0.4934776179,1.5490795336,-1.706171582,1.5862160847,0.2771447036,-0.294240945,-0.301911601,1.6319159517,1.9921309979,-1.34703976,4.8560838705,82,2
-1.293355847,-0.567755576,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.525280613,0.8995592577,0.7554681347,-1.364834654,0,0.4934776179,-0.376502739,-1.031555622,-1.015365458,-0.22824805,-0.236803966,-0.23458727,-0.937058265,-0.580458455,-0.809544012,0.6707180758,83,3
-0.381250418,1.2058968508,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.525280613,0.8995592577,0.7554681347,-1.364834654,0,0.4934776179,-0.376502739,-1.031555622,-1.015365458,-0.22824805,-0.236803966,-0.23458727,-0.937058265,-0.580458455,-0.793081935,0.8651237483,84,3
0.5308550119,-0.648376141,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.525280613,0.8995592577,0.7554681347,-1.364834654,0,0.4934776179,-0.376502739,-1.031555622,-1.015365458,-0.22824805,-0.236803966,-0.23458727,-0.937058265,-0.580458455,-0.803609735,0.7073477611,85,3
1.4429604415,-0.708841564,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.520483179,-0.259306909,-0.525280613,0.8995592577,0.7554681347,-1.364834654,0,0.4934776179,-0.376502739,-1.031555622,-1.015365458,-0.22824805,-0.236803966,-0.23458727,-0.937058265,-0.580458455,-0.800792541,0.7237060389,86,3
-1.293355847,-0.426669587,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.092393464,-0.259306909,-0.084044898,-0.95854675,-0.893116088,-0.819807112,-0.584652189,0.4934776179,1.1260349435,0.3176762987,0.2854253132,1.4684276232,-0.162812695,-0.16622326,1.3526796237,0.8844883168,-1.213015318,1.7639881869,87,3
-0.381250418,2.2438866232,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.092393464,-0.259306909,-0.084044898,-0.95854675,-0.893116088,-0.819807112,-0.584652189,0.4934776179,1.1260349435,0.3176762987,0.2854253132,1.4684276232,-0.162812695,-0.16622326,1.3526796237,0.8844883168,-1.189880744,2.045460992,88,2
0.5308550119,-0.174730322,0.1735639351,0.5869265741,1.2869838238,-1.011620552,-1.011620552,-0.092393464,-0.259306909,-0.084044898,-0.95854675,-0.893116088,-0.819807112,-0.584652189,0.4934776179,1.1260349435,0.3176762987,0.2854253132,1.4684276232,-0.162812695,-0.16622326,1.3526796237,0.8844883168,-1.204606969,1.832901191,89,3
-1.293355847,-0.033644334,1.2670167264,0.5869265741,0.0584992647,0.4099131606,0.4099131606,0.7637859664,1.1541699684,0.9087354609,0.8995592577,0.5142119069,0.6984838986,0.5846521888,0.4934776179,-0.449441461,0.3176762987,0.9358206989,-1.094635628,-0.098540577,-0.097143756,-0.601974672,-0.366076001,1.6706455309,0.0807210243,90,1
