"calendarDate","startGMT","endGMT","activityLevel","key","startTimeGMT","endTimeGMT","startTimeLocal","endTimeLocal"
2025-08-23,"2025-08-23T04:53:11.0","2025-08-23T05:29:11.0",0,2,2025-08-23 04:53:11,2025-08-23 05:29:11,2025-08-23 00:53:11,2025-08-23 01:29:11
2025-08-23,"2025-08-23T05:29:11.0","2025-08-23T06:47:11.0",1,3,2025-08-23 05:29:11,2025-08-23 06:47:11,2025-08-23 01:29:11,2025-08-23 02:47:11
2025-08-23,"2025-08-23T06:47:11.0","2025-08-23T07:22:11.0",0,4,2025-08-23 06:47:11,2025-08-23 07:22:11,2025-08-23 02:47:11,2025-08-23 03:22:11
2025-08-23,"2025-08-23T07:22:11.0","2025-08-23T07:32:11.0",1,5,2025-08-23 07:22:11,2025-08-23 07:32:11,2025-08-23 03:22:11,2025-08-23 03:32:11
2025-08-23,"2025-08-23T07:32:11.0","2025-08-23T07:53:11.0",2,6,2025-08-23 07:32:11,2025-08-23 07:53:11,2025-08-23 03:32:11,2025-08-23 03:53:11
2025-08-23,"2025-08-23T07:53:11.0","2025-08-23T08:34:11.0",1,7,2025-08-23 07:53:11,2025-08-23 08:34:11,2025-08-23 03:53:11,2025-08-23 04:34:11
2025-08-23,"2025-08-23T08:34:11.0","2025-08-23T09:05:11.0",0,8,2025-08-23 08:34:11,2025-08-23 09:05:11,2025-08-23 04:34:11,2025-08-23 05:05:11
2025-08-23,"2025-08-23T09:05:11.0","2025-08-23T09:19:11.0",1,9,2025-08-23 09:05:11,2025-08-23 09:19:11,2025-08-23 05:05:11,2025-08-23 05:19:11
2025-08-23,"2025-08-23T09:19:11.0","2025-08-23T09:45:11.0",2,10,2025-08-23 09:19:11,2025-08-23 09:45:11,2025-08-23 05:19:11,2025-08-23 05:45:11
2025-08-23,"2025-08-23T09:45:11.0","2025-08-23T09:54:11.0",1,11,2025-08-23 09:45:11,2025-08-23 09:54:11,2025-08-23 05:45:11,2025-08-23 05:54:11
2025-08-23,"2025-08-23T09:54:11.0","2025-08-23T10:03:11.0",2,12,2025-08-23 09:54:11,2025-08-23 10:03:11,2025-08-23 05:54:11,2025-08-23 06:03:11
2025-08-23,"2025-08-23T10:03:11.0","2025-08-23T10:28:11.0",1,13,2025-08-23 10:03:11,2025-08-23 10:28:11,2025-08-23 06:03:11,2025-08-23 06:28:11
2025-08-23,"2025-08-23T10:28:11.0","2025-08-23T10:35:11.0",0,14,2025-08-23 10:28:11,2025-08-23 10:35:11,2025-08-23 06:28:11,2025-08-23 06:35:11
2025-08-23,"2025-08-23T10:35:11.0","2025-08-23T10:55:11.0",1,15,2025-08-23 10:35:11,2025-08-23 10:55:11,2025-08-23 06:35:11,2025-08-23 06:55:11
2025-08-23,"2025-08-23T10:55:11.0","2025-08-23T11:26:11.0",2,16,2025-08-23 10:55:11,2025-08-23 11:26:11,2025-08-23 06:55:11,2025-08-23 07:26:11
2025-08-23,"2025-08-23T11:26:11.0","2025-08-23T11:41:11.0",1,17,2025-08-23 11:26:11,2025-08-23 11:41:11,2025-08-23 07:26:11,2025-08-23 07:41:11
2025-08-23,"2025-08-23T11:41:11.0","2025-08-23T11:42:11.0",3,18,2025-08-23 11:41:11,2025-08-23 11:42:11,2025-08-23 07:41:11,2025-08-23 07:42:11
2025-08-23,"2025-08-23T11:42:11.0","2025-08-23T12:01:11.0",1,19,2025-08-23 11:42:11,2025-08-23 12:01:11,2025-08-23 07:42:11,2025-08-23 08:01:11
2025-08-23,"2025-08-23T12:01:11.0","2025-08-23T12:07:11.0",2,20,2025-08-23 12:01:11,2025-08-23 12:07:11,2025-08-23 08:01:11,2025-08-23 08:07:11
2025-08-23,"2025-08-23T12:07:11.0","2025-08-23T12:22:11.0",1,21,2025-08-23 12:07:11,2025-08-23 12:22:11,2025-08-23 08:07:11,2025-08-23 08:22:11
2025-08-23,"2025-08-23T12:22:11.0","2025-08-23T12:39:11.0",2,22,2025-08-23 12:22:11,2025-08-23 12:39:11,2025-08-23 08:22:11,2025-08-23 08:39:11
2025-08-24,"2025-08-24T05:10:39.0","2025-08-24T05:20:39.0",1,1,2025-08-24 05:10:39,2025-08-24 05:20:39,2025-08-24 01:10:39,2025-08-24 01:20:39
2025-08-24,"2025-08-24T05:20:39.0","2025-08-24T05:43:39.0",0,2,2025-08-24 05:20:39,2025-08-24 05:43:39,2025-08-24 01:20:39,2025-08-24 01:43:39
2025-08-24,"2025-08-24T05:43:39.0","2025-08-24T05:44:39.0",3,3,2025-08-24 05:43:39,2025-08-24 05:44:39,2025-08-24 01:43:39,2025-08-24 01:44:39
2025-08-24,"2025-08-24T05:44:39.0","2025-08-24T05:58:39.0",1,4,2025-08-24 05:44:39,2025-08-24 05:58:39,2025-08-24 01:44:39,2025-08-24 01:58:39
2025-08-24,"2025-08-24T05:58:39.0","2025-08-24T06:12:39.0",3,5,2025-08-24 05:58:39,2025-08-24 06:12:39,2025-08-24 01:58:39,2025-08-24 02:12:39
2025-08-24,"2025-08-24T06:12:39.0","2025-08-24T07:14:39.0",1,6,2025-08-24 06:12:39,2025-08-24 07:14:39,2025-08-24 02:12:39,2025-08-24 03:14:39
2025-08-24,"2025-08-24T07:14:39.0","2025-08-24T07:21:39.0",0,7,2025-08-24 07:14:39,2025-08-24 07:21:39,2025-08-24 03:14:39,2025-08-24 03:21:39
2025-08-24,"2025-08-24T07:21:39.0","2025-08-24T07:31:39.0",1,8,2025-08-24 07:21:39,2025-08-24 07:31:39,2025-08-24 03:21:39,2025-08-24 03:31:39
2025-08-24,"2025-08-24T07:31:39.0","2025-08-24T07:32:39.0",3,9,2025-08-24 07:31:39,2025-08-24 07:32:39,2025-08-24 03:31:39,2025-08-24 03:32:39
2025-08-24,"2025-08-24T07:32:39.0","2025-08-24T07:43:39.0",1,10,2025-08-24 07:32:39,2025-08-24 07:43:39,2025-08-24 03:32:39,2025-08-24 03:43:39
2025-08-24,"2025-08-24T07:43:39.0","2025-08-24T08:00:39.0",2,11,2025-08-24 07:43:39,2025-08-24 08:00:39,2025-08-24 03:43:39,2025-08-24 04:00:39
2025-08-24,"2025-08-24T08:00:39.0","2025-08-24T08:46:39.0",1,12,2025-08-24 08:00:39,2025-08-24 08:46:39,2025-08-24 04:00:39,2025-08-24 04:46:39
2025-08-24,"2025-08-24T08:46:39.0","2025-08-24T09:07:39.0",0,13,2025-08-24 08:46:39,2025-08-24 09:07:39,2025-08-24 04:46:39,2025-08-24 05:07:39
2025-08-24,"2025-08-24T09:07:39.0","2025-08-24T09:14:39.0",1,14,2025-08-24 09:07:39,2025-08-24 09:14:39,2025-08-24 05:07:39,2025-08-24 05:14:39
2025-08-24,"2025-08-24T09:14:39.0","2025-08-24T09:22:39.0",2,15,2025-08-24 09:14:39,2025-08-24 09:22:39,2025-08-24 05:14:39,2025-08-24 05:22:39
2025-08-24,"2025-08-24T09:22:39.0","2025-08-24T10:51:39.0",1,16,2025-08-24 09:22:39,2025-08-24 10:51:39,2025-08-24 05:22:39,2025-08-24 06:51:39
2025-08-24,"2025-08-24T10:51:39.0","2025-08-24T11:25:39.0",2,17,2025-08-24 10:51:39,2025-08-24 11:25:39,2025-08-24 06:51:39,2025-08-24 07:25:39
2025-08-24,"2025-08-24T11:25:39.0","2025-08-24T11:27:39.0",3,18,2025-08-24 11:25:39,2025-08-24 11:27:39,2025-08-24 07:25:39,2025-08-24 07:27:39
2025-08-24,"2025-08-24T11:27:39.0","2025-08-24T11:55:39.0",1,19,2025-08-24 11:27:39,2025-08-24 11:55:39,2025-08-24 07:27:39,2025-08-24 07:55:39
2025-08-25,"2025-08-25T04:52:18.0","2025-08-25T05:04:18.0",1,1,2025-08-25 04:52:18,2025-08-25 05:04:18,2025-08-25 00:52:18,2025-08-25 01:04:18
2025-08-25,"2025-08-25T05:04:18.0","2025-08-25T05:12:18.0",0,2,2025-08-25 05:04:18,2025-08-25 05:12:18,2025-08-25 01:04:18,2025-08-25 01:12:18
2025-08-25,"2025-08-25T05:12:18.0","2025-08-25T05:22:18.0",1,3,2025-08-25 05:12:18,2025-08-25 05:22:18,2025-08-25 01:12:18,2025-08-25 01:22:18
2025-08-25,"2025-08-25T05:22:18.0","2025-08-25T05:33:18.0",0,4,2025-08-25 05:22:18,2025-08-25 05:33:18,2025-08-25 01:22:18,2025-08-25 01:33:18
2025-08-25,"2025-08-25T05:33:18.0","2025-08-25T05:54:18.0",1,5,2025-08-25 05:33:18,2025-08-25 05:54:18,2025-08-25 01:33:18,2025-08-25 01:54:18
2025-08-25,"2025-08-25T05:54:18.0","2025-08-25T06:07:18.0",0,6,2025-08-25 05:54:18,2025-08-25 06:07:18,2025-08-25 01:54:18,2025-08-25 02:07:18
