"hrvValue","readingTimeGMT","readingTimeLocal","calendarDate","colorFlag"
24,2025-08-21 09:21:37,2025-08-21 05:21:37,2025-08-21,"Significant"
33,2025-08-21 09:26:37,2025-08-21 05:26:37,2025-08-21,"Significant"
33,2025-08-21 09:31:37,2025-08-21 05:31:37,2025-08-21,"Significant"
39,2025-08-21 09:36:37,2025-08-21 05:36:37,2025-08-21,"Significant"
34,2025-08-21 09:41:37,2025-08-21 05:41:37,2025-08-21,"Significant"
36,2025-08-21 09:46:37,2025-08-21 05:46:37,2025-08-21,"Significant"
40,2025-08-21 09:51:37,2025-08-21 05:51:37,2025-08-21,"Significant"
40,2025-08-21 09:56:37,2025-08-21 05:56:37,2025-08-21,"Significant"
43,2025-08-21 10:01:37,2025-08-21 06:01:37,2025-08-21,"Significant"
42,2025-08-21 10:06:37,2025-08-21 06:06:37,2025-08-21,"Significant"
40,2025-08-21 10:11:37,2025-08-21 06:11:37,2025-08-21,"Significant"
36,2025-08-21 10:16:37,2025-08-21 06:16:37,2025-08-21,"Significant"
23,2025-08-21 10:21:37,2025-08-21 06:21:37,2025-08-21,"Significant"
19,2025-08-21 10:26:37,2025-08-21 06:26:37,2025-08-21,"Significant"
21,2025-08-21 10:31:37,2025-08-21 06:31:37,2025-08-21,"Significant"
20,2025-08-21 10:36:37,2025-08-21 06:36:37,2025-08-21,"Significant"
26,2025-08-21 10:41:37,2025-08-21 06:41:37,2025-08-21,"Significant"
23,2025-08-21 10:46:37,2025-08-21 06:46:37,2025-08-21,"Significant"
32,2025-08-21 10:51:37,2025-08-21 06:51:37,2025-08-21,"Significant"
34,2025-08-21 10:56:37,2025-08-21 06:56:37,2025-08-21,"Significant"
31,2025-08-21 11:01:37,2025-08-21 07:01:37,2025-08-21,"Significant"
37,2025-08-21 11:06:37,2025-08-21 07:06:37,2025-08-21,"Significant"
58,2025-08-21 11:11:37,2025-08-21 07:11:37,2025-08-21,"Significant"
30,2025-08-21 11:16:37,2025-08-21 07:16:37,2025-08-21,"Significant"
26,2025-08-21 11:21:37,2025-08-21 07:21:37,2025-08-21,"Significant"
28,2025-08-21 11:26:37,2025-08-21 07:26:37,2025-08-21,"Significant"
27,2025-08-21 11:31:37,2025-08-21 07:31:37,2025-08-21,"Significant"
31,2025-08-21 11:36:37,2025-08-21 07:36:37,2025-08-21,"Significant"
21,2025-08-22 04:56:37,2025-08-22 00:56:37,2025-08-22,"Significant"
15,2025-08-22 05:01:37,2025-08-22 01:01:37,2025-08-22,"Significant"
19,2025-08-22 05:06:37,2025-08-22 01:06:37,2025-08-22,"Significant"
15,2025-08-22 05:11:37,2025-08-22 01:11:37,2025-08-22,"Significant"
17,2025-08-22 05:16:37,2025-08-22 01:16:37,2025-08-22,"Significant"
18,2025-08-22 05:21:37,2025-08-22 01:21:37,2025-08-22,"Significant"
29,2025-08-22 05:26:37,2025-08-22 01:26:37,2025-08-22,"Significant"
30,2025-08-22 05:31:37,2025-08-22 01:31:37,2025-08-22,"Significant"
29,2025-08-22 05:36:37,2025-08-22 01:36:37,2025-08-22,"Significant"
35,2025-08-22 05:41:37,2025-08-22 01:41:37,2025-08-22,"Significant"
32,2025-08-22 05:46:37,2025-08-22 01:46:37,2025-08-22,"Significant"
38,2025-08-22 05:51:37,2025-08-22 01:51:37,2025-08-22,"Significant"
32,2025-08-22 05:56:37,2025-08-22 01:56:37,2025-08-22,"Significant"
23,2025-08-22 06:01:37,2025-08-22 02:01:37,2025-08-22,"Significant"
21,2025-08-22 06:06:37,2025-08-22 02:06:37,2025-08-22,"Significant"
24,2025-08-22 06:11:37,2025-08-22 02:11:37,2025-08-22,"Significant"
35,2025-08-22 06:16:37,2025-08-22 02:16:37,2025-08-22,"Significant"
26,2025-08-22 06:21:37,2025-08-22 02:21:37,2025-08-22,"Significant"
27,2025-08-22 06:26:37,2025-08-22 02:26:37,2025-08-22,"Significant"
28,2025-08-22 06:31:37,2025-08-22 02:31:37,2025-08-22,"Significant"
26,2025-08-22 06:36:37,2025-08-22 02:36:37,2025-08-22,"Significant"
28,2025-08-22 06:41:37,2025-08-22 02:41:37,2025-08-22,"Significant"
27,2025-08-22 06:46:37,2025-08-22 02:46:37,2025-08-22,"Significant"
26,2025-08-22 06:51:37,2025-08-22 02:51:37,2025-08-22,"Significant"
26,2025-08-22 06:56:37,2025-08-22 02:56:37,2025-08-22,"Significant"
27,2025-08-22 07:01:37,2025-08-22 03:01:37,2025-08-22,"Significant"
38,2025-08-22 07:06:37,2025-08-22 03:06:37,2025-08-22,"Significant"
28,2025-08-22 07:11:37,2025-08-22 03:11:37,2025-08-22,"Significant"
24,2025-08-22 07:16:37,2025-08-22 03:16:37,2025-08-22,"Significant"
30,2025-08-22 07:21:37,2025-08-22 03:21:37,2025-08-22,"Significant"
29,2025-08-22 07:26:37,2025-08-22 03:26:37,2025-08-22,"Significant"
20,2025-08-22 07:31:37,2025-08-22 03:31:37,2025-08-22,"Significant"
23,2025-08-22 07:36:37,2025-08-22 03:36:37,2025-08-22,"Significant"
34,2025-08-22 07:41:37,2025-08-22 03:41:37,2025-08-22,"Significant"
35,2025-08-22 07:46:37,2025-08-22 03:46:37,2025-08-22,"Significant"
36,2025-08-22 07:51:37,2025-08-22 03:51:37,2025-08-22,"Significant"
34,2025-08-22 07:56:37,2025-08-22 03:56:37,2025-08-22,"Significant"
28,2025-08-22 08:01:37,2025-08-22 04:01:37,2025-08-22,"Significant"
31,2025-08-22 08:06:37,2025-08-22 04:06:37,2025-08-22,"Significant"
37,2025-08-22 08:11:37,2025-08-22 04:11:37,2025-08-22,"Significant"
37,2025-08-22 08:16:37,2025-08-22 04:16:37,2025-08-22,"Significant"
36,2025-08-22 08:21:37,2025-08-22 04:21:37,2025-08-22,"Significant"
41,2025-08-22 08:26:37,2025-08-22 04:26:37,2025-08-22,"Significant"
39,2025-08-22 08:31:37,2025-08-22 04:31:37,2025-08-22,"Significant"
37,2025-08-22 08:36:37,2025-08-22 04:36:37,2025-08-22,"Significant"
31,2025-08-22 08:41:37,2025-08-22 04:41:37,2025-08-22,"Significant"
22,2025-08-22 08:46:37,2025-08-22 04:46:37,2025-08-22,"Significant"
24,2025-08-22 08:51:37,2025-08-22 04:51:37,2025-08-22,"Significant"
33,2025-08-22 08:56:37,2025-08-22 04:56:37,2025-08-22,"Significant"
26,2025-08-22 09:01:37,2025-08-22 05:01:37,2025-08-22,"Significant"
23,2025-08-22 09:06:37,2025-08-22 05:06:37,2025-08-22,"Significant"
31,2025-08-22 09:11:37,2025-08-22 05:11:37,2025-08-22,"Significant"
28,2025-08-22 09:16:37,2025-08-22 05:16:37,2025-08-22,"Significant"
29,2025-08-22 09:21:37,2025-08-22 05:21:37,2025-08-22,"Significant"
35,2025-08-22 09:26:37,2025-08-22 05:26:37,2025-08-22,"Significant"
52,2025-08-22 09:31:37,2025-08-22 05:31:37,2025-08-22,"Significant"
60,2025-08-22 09:36:37,2025-08-22 05:36:37,2025-08-22,"Significant"
66,2025-08-22 09:46:37,2025-08-22 05:46:37,2025-08-22,"Significant"
